config,baseline,steps,normalization,intervention,learning_rate,normalized_learning_rate,target_and_hold_fraction,bounded_fraction,unresolved_fraction,divergent_fraction,median_final_ratio,median_tail_maximum_ratio
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,1.7738131456325552,6.109899380131337,0.0,1.0,1.0,0.0,0.5844074956519862,0.5844074956519902
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,2.113386834587591,7.279560951736957,0.0,1.0,1.0,0.0,0.6354878357843174,1.1106741104855313
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,2.517967534294828,8.673139171878535,0.0,1.0,1.0,0.0,0.37302429457655806,2.2761906801454925
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,3.0,10.3335,0.0,1.0,1.0,0.0,0.2653922576438687,3.5335261900651425
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,1e-05,3.5517529698794185e-05,0.0,1.0,1.0,0.0,0.9889299442025359,0.9896496236322034
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,1.1914371250382978e-05,4.2316903472793696e-05,0.0,1.0,1.0,0.0,0.9868240296731752,0.9876798023810183
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,1.4195224229195243e-05,5.041792981414848e-05,0.0,1.0,1.0,0.0,0.9843205376815503,0.9853377538122428
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,1.691271714490637e-05,6.006979334815175e-05,0.0,1.0,1.0,0.0,0.9813456887162949,0.982554257554543
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,2.0150439091713173e-05,7.156938188836658e-05,0.0,1.0,1.0,0.0,0.9778125528286414,0.9792476931534704
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,2.400798121969007e-05,8.52704185978435e-05,0.0,1.0,1.0,0.0,0.9736189374866053,0.9753220207991777
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,2.8604000122360983e-05,0.00010159434238502685,0.0,1.0,1.0,0.0,0.9686450388739143,0.9706645224064515
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,3.407986767038089e-05,0.00012104327121137289,0.0,1.0,1.0,0.0,0.9627508800950978,0.9651433174757948
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,4.0604019558884236e-05,0.00014421544705730906,0.0,1.0,1.0,0.0,0.9557735918595449,0.9586046952436948
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,4.8377136328235845e-05,0.00017182363762807316,0.0,1.0,1.0,0.0,0.9475246401331012,0.9508703463504753
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,5.763831622449911e-05,0.00020471706082921375,0.0,1.0,1.0,0.0,0.9377871779202279,0.941734639801648
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,6.867242977456549e-05,0.00024390750640064876,0.0,1.0,1.0,0.0,0.9263138040289245,0.9309621826915806
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,8.18188823000027e-05,0.00029060045820124915,0.0,1.0,1.0,0.0,0.9128251622663167,0.918286031848532
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,9.748205390136209e-05,0.0003462321744541083,0.0,1.0,1.0,0.0,0.8970100244538868,0.9034071117658766
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.00011614373804306723,0.0004125138665273612,0.0,1.0,1.0,0.0,0.8785277857011903,0.8859956474229199
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0001383779613452332,0.0004914843351737913,0.0,1.0,1.0,0.0,0.8570146738204517,0.8656957588274595
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.00016486864043382534,0.0005855726833008211,0.0,1.0,1.0,0.0,0.8320954380606432,0.8421347940107211
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0001964306189674497,0.0006976730342928919,0.0,1.0,1.0,0.0,0.8034028044696692,0.8149394838301101
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0002340347319320716,0.0008312335541946688,0.0,1.0,1.0,0.0,0.7706074598949079,0.7837615152083536
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0002788376681722561,0.0009903625160450624,0.0,1.0,1.0,0.0,0.7334614887459145,0.7483154491150154
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0003322175497195357,0.001179954668862424,0.0,1.0,1.0,0.0,0.6918574597360435,0.7084316230658272
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0003958163223251114,0.0014058417983449634,0.0,1.0,1.0,0.0,0.6459026119171893,0.664124892013279
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0004715902611142629,0.0016749721104787935,0.0,1.0,1.0,0.0,0.5960008549857215,0.6156751576428512
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0005618701448980375,0.0019956239558281837,0.0,1.0,1.0,0.0,0.5429218990177227,0.563705125786194
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0006694329500821696,0.002377660468589486,0.0,1.0,1.0,0.0,0.48781553584473414,0.5092222995446642
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0007975872694518065,0.0028328329530134693,0.0,1.0,1.0,0.0,0.4399355540257647,0.45731245358496186
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0009502750832828064,0.0033751423492521192,0.0,1.0,1.0,0.0,0.3987437603987304,0.41391548622411156
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0011321930132219959,0.004021269897187951,0.0,1.0,1.0,0.0,0.3514007201117844,0.36995034197609644
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0013489367886616623,0.004791090245308664,0.0,1.0,1.0,0.0,0.3040438276025281,0.32281400990588555
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0016071733693414447,0.005708282787669587,0.0,1.0,1.0,0.0,0.23187647179456328,0.2594335762944843
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0019148460186062853,0.006801060033446654,0.0,1.0,1.0,0.0,0.177624453201619,0.19324682072149296
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0022814186352993035,0.00810303541346255,0.0,1.0,1.0,0.0,0.14025365674113563,0.15405099597873462
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0027181668598497987,0.009654257217099334,0.25,1.0,0.75,0.0,0.10897857328688818,0.12020120980595864
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0032385249088738217,0.011502440463121068,0.25,1.0,0.75,0.0,0.08516976654316688,0.09344096675016864
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.003858498806793542,0.013704434596305153,0.25,1.0,0.75,0.0,0.06129972723394689,0.07104421756492275
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.004597158725329799,0.016327972155697194,0.25,1.0,0.75,0.0,0.04092233066371192,0.04802155919810831
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.005477225575051662,0.019453752202889245,0.28125,1.0,0.71875,0.0,0.02609749814111866,0.03125947976697241
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.0065257698923257895,0.023177922595817812,0.40625,1.0,0.59375,0.0,0.01546035412866629,0.019121114923753
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.007775044519174121,0.027615037461921378,0.5,1.0,0.5,0.0,0.008255475285383779,0.010663501593487267
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.00926347668896959,0.0329015808414565,0.5,1.0,0.5,0.0,0.003862945784268482,0.005267017940690009
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.011036850034165217,0.039200164886960064,0.5,1.0,0.5,0.0,0.001540454085111418,0.0022412241304919805
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.013149712874184644,0.046704531753946926,0.5,1.0,0.5,0.0,0.0005079700812007875,0.000798104352366222
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.015667056101897645,0.05564551303918242,0.5,1.0,0.5,0.0,0.00013381747885334873,0.00023020520274485222
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.01866631227985865,0.06629813007668461,0.5,1.0,0.5,0.0,2.7043081821523127e-05,5.1775509337941965e-05
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.022239737437781862,0.07899005349398021,0.59375,1.0,0.40625,0.0,3.9937789172503654e-06,8.677876562265342e-06
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.026497248834477422,0.09411168224148914,0.75,1.0,0.25,0.0,4.0646410874647497e-07,1.026291095895139e-06
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.031569805972774166,0.11212815212231764,0.75,1.0,0.25,0.0,2.6552747098826092e-08,8.016217134639298e-08
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.037613438866218936,0.13359364320047104,0.75,1.0,0.25,0.0,1.0216779593089666e-09,3.816951079554534e-09
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.04481404746557166,0.15916842617816135,0.75,1.0,0.25,0.0,2.087306036387658e-11,1.0056965797960923e-10
